indicator_id,indicator_name,iso3,country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,9999
149206,Government expenditure on education (% of GDP),FIN,Finland,5.3,,,,,6.8,,,,,5.7,,,,,6,,,,6.5,6.5,7.2,7.2,7.2,,,,7.2
149206,Government expenditure on education (% of GDP),FRA,France,4.5,,,,,5.8,,,,,5.5,,,,,5.5,,,,5.7,5.5,5.5,5.5,5.5,,,,5.5
149206,Government expenditure on education (% of GDP),GAB,Gabon,,,,,,,,,,,3.8,,,,,,,,,3.1,3,3,3,2.7,,,,2.7
149206,Government expenditure on education (% of GDP),GMB,Gambia,2.8,,,,,2.6,,,,,1.5,,,,,1.1,,,,4.2,3.9,4.1,2.8,,,,,2.8
149206,Government expenditure on education (% of GDP),GEO,Georgia,,,,,,,,,,,2.2,,,,,2.5,,,,,2.7,2,,,,3.8,,3.8
149206,Government expenditure on education (% of GDP),DEU,Germany,,,,,,4.4,,,,,,,,,,,,,,4.9,4.8,4.9,4.9,4.9,,,,4.9
149206,Government expenditure on education (% of GDP),GHA,Ghana,,,,,,,,,,,,,,,,7.4,,,,5.5,8.1,7.9,6.1,6.2,,,,6.2
149206,Government expenditure on education (% of GDP),GRC,Greece,2,,,,,,,,,,3.2,,,,,4,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),GRD,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,10.3
149206,Government expenditure on education (% of GDP),GTM,Guatemala,,,,,,1.6,,,,,,,,,,,,,,2.8,2.9,3,2.8,2.9,3,2.8,,2.8
149206,Government expenditure on education (% of GDP),GIN,Guinea,,,,,,,,,,,2.6,,,,,1.8,,,,2.5,2.3,1.9,2.6,2.4,,,,2.4
149206,Government expenditure on education (% of GDP),GNB,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,1.9,1.9,2,2.1,,,,,2.1
149206,Government expenditure on education (% of GDP),GUY,Guyana,,,,,,3.6,,,,,8.5,,,,,8.1,,,,3.6,3.6,3.2,,,,,,3.2
149206,Government expenditure on education (% of GDP),HND,Honduras,,,,,,3.6,,,,,,,,,,,,,,,,,5.9,,,,,5.9
149206,Government expenditure on education (% of GDP),HKG,Hong Kong- China (SAR),2.5,,,,,,,,,,,,,,,4.1,,,,3.5,3.4,3.5,3.8,3.6,3.3,3.3,3.3,3.3
149206,Government expenditure on education (% of GDP),HUN,Hungary,,,,,,4.8,,,,,4.9,,,,,5.3,,,,4.8,4.6,,4.2,4.6,,,,4.6
149206,Government expenditure on education (% of GDP),ISL,Iceland,4.2,,,,,4.7,,,,,6.5,,,,,7.4,,,,7.2,7,7.9,7.8,,,,,7.8
149206,Government expenditure on education (% of GDP),IND,India,,,,,,,,,,,4.4,,,,,3.2,,,,3.4,3.8,3.9,3.8,,,,,3.8
149206,Government expenditure on education (% of GDP),IDN,Indonesia,,,,,,0.9,,,,,,,,,,2.7,,,,2.8,3.2,3.4,3.4,3.3,3.6,,,3.6
149206,Government expenditure on education (% of GDP),IRN,Iran (Islamic Republic of),3.8,,,,,4.1,,,,,4,,,,,4.1,,,,3.7,3.5,3.2,3.1,2.8,2.8,3.4,,3.4
149206,Government expenditure on education (% of GDP),IRQ,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),IRL,Ireland,4.6,,,,,4.9,,,,,4.1,,,,,4.5,,,,6,5.8,5.8,5.3,4.9,,,,4.9
149206,Government expenditure on education (% of GDP),ISR,Israel,5.4,,,,,,,,,,6.1,,,,,5.8,,,,5.5,5.6,5.7,5.8,5.7,,,,5.7
149206,Government expenditure on education (% of GDP),ITA,Italy,,,,,,4.3,,,,,4.3,,,,,4.2,,,,4.4,4.1,,4.2,4.1,,,,4.1
149206,Government expenditure on education (% of GDP),JAM,Jamaica,4.8,,,,,3.7,,,,,5,,,,,4.6,,,,6.4,6.3,6.1,6.3,6,5.5,5.3,5.4,5.4
149206,Government expenditure on education (% of GDP),JPN,Japan,,,,,,3.5,,,,,3.5,,,,,3.4,,,,3.6,3.6,3.7,3.7,3.6,,,,3.6
149206,Government expenditure on education (% of GDP),JOR,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,3.9
149206,Government expenditure on education (% of GDP),KAZ,Kazakhstan,,,,,,4,,,,,3.3,,,,,2.3,,,,,,,,,2.8,3,,3
149206,Government expenditure on education (% of GDP),KEN,Kenya,,,,,,,,,,,5.2,,,,,7.3,,,,5.5,5.3,5.5,5.4,5.3,5.3,,,5.3
149206,Government expenditure on education (% of GDP),KIR,Kiribati,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),KOR,Korea (Republic of),3.1,,,,,3,,,,,,,,,,3.9,,,,,,4.6,4.9,5.1,5.1,,,5.1
149206,Government expenditure on education (% of GDP),KWT,Kuwait,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),KGZ,Kyrgyzstan,,,,,,6.2,,,,,3.5,,,,,4.9,,,,5.8,6.8,7.4,6.8,5.5,6,,,6
149206,Government expenditure on education (% of GDP),LAO,Lao People's Democratic Republic,,,,,,,,,,,1.5,,,,,2.4,,,,1.7,1.8,1.8,3.2,2.9,,,,2.9
149206,Government expenditure on education (% of GDP),LVA,Latvia,,,,,,,,,,,5.3,,,,,,,,,5.1,4.9,6.6,7,5.3,,,,5.3
149206,Government expenditure on education (% of GDP),LBN,Lebanon,,,,,,2.2,,,,,,,,,,2.7,,,,1.6,1.6,2.2,2.5,,,,,2.5
149206,Government expenditure on education (% of GDP),LSO,Lesotho,,,,,,8.6,,,,,10.1,,,,,12.1,,,,,,,,,,,,
149206,Government expenditure on education (% of GDP),LBR,Liberia,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,2.8
149206,Government expenditure on education (% of GDP),LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,
149206,Government expenditure on education (% of GDP),LTU,Lithuania,,,,,,4.8,,,,,,,,,,4.9,,,,5.3,5.1,4.8,4.6,4.5,,,,4.5
149206,Government expenditure on education (% of GDP),LUX,Luxembourg,,,,,,3.5,,,,,,,,,,,,,,,,4.1,,4,,,,4
149206,Government expenditure on education (% of GDP),MDG,Madagascar,,,,,,,,,,,2.9,,,,,3.8,,,,,2.8,2.7,2.1,,,,,2.1
149206,Government expenditure on education (% of GDP),MWI,Malawi,3.3,,,,,4,,,,,5.2,,,,,,,,,3.5,4.2,,5.4,4.8,5.6,4.7,,4.7
149206,Government expenditure on education (% of GDP),MYS,Malaysia,,,,,,4.3,,,,,6,,,,,,,,,5,5.8,5.7,5.5,5.2,5,4.8,,4.8
149206,Government expenditure on education (% of GDP),MDV,Maldives,,,,,,,,,,,,,,,,5,,,,4.1,3.5,3.8,3.8,3.5,4.5,4.3,,4.3
149206,Government expenditure on education (% of GDP),MLI,Mali,,,,,,,,,,,3,,,,,3.5,,,,3.3,3.8,3.5,3.3,3.6,3.8,,,3.8
149206,Government expenditure on education (% of GDP),MLT,Malta,3.8,,,,,,,,,,,,,,,,,,,6.5,7.8,6.5,7.9,7.2,,,,7.2
149206,Government expenditure on education (% of GDP),MRT,Mauritania,,,,,,,,,,,,,,,,,,,,3.6,3.1,2.8,2.9,,,2.6,,2.6
149206,Government expenditure on education (% of GDP),MUS,Mauritius,3.2,,,,,,,,,,3.8,,,,,4.2,,,,3.6,3.3,3.4,3.6,4.9,4.9,5,5.1,5.1
149206,Government expenditure on education (% of GDP),MEX,Mexico,2.3,,,,,3.9,,,,,4.1,,,,,4.9,,,,5.2,5.1,5.2,4.7,5.3,,,,5.3
